cr_film_id,url,title,original_title,year,preferred_lang_class,display_name,candidate_count,failure_reasons,candidate_upload_ids
7250,https://ceskarepublika.wiki/filmy-online/podivuhodna-dobrodruzstvi-paula-harkera,Podivuhodná dobrodružství Paula Harkera,The True Adventures of Wolfboy,2019,CZ_DUB,Podivuhodná dobrodružství Paula Harkera (2019) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/podivuhodna-dobrodruzstvi-paula-harkera-2019-cz-dabing/0bfe4de5e7d22395,0bfe4de5e7d22395
17581,https://ceskarepublika.wiki/filmy-online/rodinne-portrety,Rodinné portréty,Family Pictures,2019,CZ_DUB,Rodinné portréty (2019) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/o-dvanacti-mesickach-2019-cz-dabing-full-hd-family-top-kvalita-1067195/c73aaef33fc75ee1,c73aaef33fc75ee1
17282,https://ceskarepublika.wiki/filmy-online/staroveka-hysterie-dobrodruzstvi-povrchnich-rimanu,Starověká hysterie: Dobrodružství povrchních Římanů,Horrible Histories: The Movie — Rotten Romans,2019,CZ_NATIVE,Starověká hysterie: Dobrodružství povrchních Římanů (2019) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/staroveka-hysterie-dobrodruzstvi-povrchnich-rimanu-2019-cz-dabing-mp4/513fc10150847ef1,513fc10150847ef1
17560,https://ceskarepublika.wiki/filmy-online/talent-na-zlocin-tajemstvi-dahlii,Talent na zločin: Tajemství Dahlií,Allmen und das Geheimnis der Dahlien,2019,CZ_DUB,Talent na zločin: Tajemství Dahlií (2019) CZ Dabing,1,resolve_failed: no videos.push() blocks found at https://prehraj.to/talent-na-zlocin-tajemstvi-dahlii-2019-cz-dabing-hd-mp4/01260af9cc62a27a,01260af9cc62a27a
16824,https://ceskarepublika.wiki/filmy-online/vecna-krasa,Věčná krása,Eternal Beauty,2019,CZ_NATIVE,Věčná krása (2019) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/vecna-krasa-2020-cz-dabing-mp4/60ca2f47dc1b8fb1,60ca2f47dc1b8fb1
7209,https://ceskarepublika.wiki/filmy-online/5-x-jinak,5 x jinak,C'est la vie,2020,CZ_DUB,5 x jinak (2020) CZ Dabing,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/5-x-jinak-2020-cz-dabing/00bff3bc8a545af4,00bff3bc8a545af4
7251,https://ceskarepublika.wiki/filmy-online/boze-ty-ses-hajzl,"Bože, ty seš hajzl","Gott, du kannst ein Arsch sein!",2020,CZ_DUB,"Bože, ty seš hajzl (2020) CZ Dabing",1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/boze-ty-ses-hajzl-2020-cz-dabing/423fc1227b089e22,423fc1227b089e22
2577,https://ceskarepublika.wiki/filmy-online/croodsovi-novy-vek,Croodsovi: Nový věk,The Croods: A New Age,2020,CZ_NATIVE,Croodsovi: Nový věk (2020) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/croodsovi-novy-vek-2020-uhdr-cz-sk-en/9d1f095563becff9,9d1f095563becff9
8201,https://ceskarepublika.wiki/filmy-online/draci-princezna,Dračí princezna,Dragevokterens jul,2020,CZ_NATIVE,Dračí princezna (2020) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/draci-princezna-2020-cz-dabing-mp4/85ef99640848bc2a,85ef99640848bc2a
4576,https://ceskarepublika.wiki/filmy-online/galerie-zlomenych-srdci,Galerie zlomených srdcí,The Broken Hearts Gallery,2020,CZ_NATIVE,Galerie zlomených srdcí (2020) CZ,1,resolve_failed: HTTP 502 wrapping permanent upstream error: https://prehraj.to/galerie-zlomenych-srdci-2020-cz-dabing-hd-mp4/3ea0894621fcca51,3ea0894621fcca51
